Task_ID,Task_Name,Owner,Start_Date,End_Date,Duration_Days,Progress_%,Dependencies,Sprint,Color
1.0,PROJECT SETUP,TL,2025-02-03,2025-02-05,3,0,,Sprint 1,#4285F4
2.0,DESIGN SYSTEM,DS,2025-02-03,2025-02-07,5,0,,Sprint 1,#9C27B0
3.0,BASE UI COMPONENTS,M1,2025-02-04,2025-02-12,7,0,2.0,Sprint 1,#4CAF50
4.0,AUTHENTICATION FLOW,M2,2025-02-05,2025-02-14,8,0,1.0,Sprint 1,#FF9800
5.0,NAVIGATION SETUP,TL,2025-02-10,2025-02-14,5,0,1.0,Sprint 1,#4285F4
6.0,SQLITE DATABASE,TL,2025-02-17,2025-02-21,5,0,5.0,Sprint 1,#4285F4
7.0,DASHBOARD SCREEN,M1,2025-02-17,2025-02-26,8,0,3.0,Sprint 1,#4CAF50
8.0,API CLIENT SETUP,M2,2025-02-17,2025-02-21,5,0,4.0,Sprint 1,#FF9800
9.0,DRIVER PROFILE,JR,2025-02-19,2025-02-28,8,0,8.0,Sprint 1,#F44336
10.0,TRIP ASSIGNMENT,M1,2025-03-03,2025-03-07,5,0,7.0,Sprint 2,#4CAF50
11.0,LOADING PROCESS,M2,2025-03-03,2025-03-12,8,0,10.0,Sprint 2,#FF9800
12.0,DOCUMENT CAPTURE,JR,2025-03-05,2025-03-14,8,0,11.0,Sprint 2,#F44336
13.0,ACTIVE TRIP SCREEN,TL,2025-03-10,2025-03-19,8,0,10.0,Sprint 2,#4285F4
14.0,MQTT CLIENT,TL,2025-03-12,2025-03-21,8,0,13.0,Sprint 2,#4285F4
15.0,ISSUE REPORTING,M1,2025-03-17,2025-03-21,5,0,13.0,Sprint 2,#4CAF50
16.0,UNLOADING & POD,M2,2025-03-19,2025-03-28,8,0,12.0,Sprint 2,#FF9800
17.0,ALERTS SCREEN,JR,2025-03-17,2025-03-26,8,0,14.0,Sprint 2,#F44336
18.0,EARNINGS MODULE,M1,2025-03-31,2025-04-09,8,0,16.0,Sprint 3,#4CAF50
19.0,EXPENSES MODULE,M2,2025-03-31,2025-04-09,8,0,16.0,Sprint 3,#FF9800
20.0,DOCUMENTS MODULE,JR,2025-04-02,2025-04-14,8,0,12.0,Sprint 3,#F44336
21.0,AI COPILOT,TL,2025-04-09,2025-04-18,8,0,14.0,Sprint 3,#4285F4
22.0,OFFLINE SYNC,TL,2025-04-14,2025-04-25,8,0,21.0,Sprint 3,#4285F4
23.0,TRIP HISTORY,M1,2025-04-14,2025-04-18,5,0,18.0,Sprint 3,#4CAF50
24.0,NOTIFICATIONS,M2,2025-04-16,2025-04-25,8,0,18.0,Sprint 3,#FF9800
25.0,TESTING,QA,2025-04-28,2025-05-09,10,0,22.0,Sprint 4,#607D8B
26.0,BUG FIXES,ALL,2025-05-05,2025-05-16,10,0,25.0,Sprint 4,#E91E63
27.0,OPTIMIZATION,TL,2025-05-12,2025-05-16,5,0,25.0,Sprint 4,#4285F4
28.0,I18N,M1,2025-04-28,2025-05-09,8,0,ALL,Sprint 4,#4CAF50
29.0,APP STORE PREP,DS,2025-05-14,2025-05-21,5,0,27.0,Sprint 4,#9C27B0
30.0,DEPLOYMENT,TL,2025-05-21,2025-05-23,3,0,29.0,Sprint 4,#4285F4
